matchday,home_0_away_1,Poss,points_won,GF,GA,xG_diff,elo_diff,city_win_odds,opp_final_pos,days_since_last_game_city,days_since_last_opp_game
2,0,64,1,1,1,0.5,115.86,1.33,8,9,7
21,1,74,1,0,0,0,351.18,1.28,11,4,2
23,1,64,0,3,4,0,94.95,2.29,4,12,7
26,1,70,1,1,1,0.9,297.94,1.28,7,3,7
33,0,64,0,2,3,1.5,103.74,1.89,2,7,7
37,0,78,1,0,0,0.6,425.32,1.08,16,7,6
3,1,71,1,1,1,0.6,388.67,1.28,7,6,7
8,1,51,1,0,0,0.6,21.86,2.8,2,8,8
16,1,61,0,0,2,0.3,132.86,1.95,3,4,3
18,0,78,0,2,3,0.6,347.11,1.14,12,7,7
19,1,66,0,1,2,0.1,300.22,1.36,9,4,4
24,1,75,0,1,2,0.3,350.39,1.18,13,9,10
