matchday,home_0_away_1,points_won,GF,GA,elo_diff,city_win_odds,opp_final_pos,days_since_last_game_city,days_since_last_game_opp
2,1,0,2,3,297.11,1.44,20,6,8
4,1,1,0,0,205.32,1.65,9,14,14
6,1,0,2,3,194.51,1.57,15,6,7
9,1,0,1,2,-18.09,3.2,3,8,8
11,1,0,0,1,278.06,1.4,14,8,8
15,1,1,1,1,204.5,1.75,8,3,3
24,0,0,0,1,45.1,1.85,3,5,5
25,1,1,0,0,315.16,1.36,18,5,7
32,1,1,1,1,66.38,2.15,4,4,4
34,1,0,2,3,48.12,2.9,2,8,7
26,0,1,2,2,344.14,1.17,14,3,4
3,0,0,0,1,256.65,1.18,9,5,6
4,1,1,2,2,85.27,2.5,3,14,13
5,0,1,1,1,10.01,2.38,1,8,8
9,1,0,1,2,266.99,1.55,12,7,7
11,1,1,2,2,362.7,1.5,20,6,7
19,0,1,2,2,356.9,1.18,19,2,2
21,1,1,1,1,187.09,1.85,11,9,9
22,0,0,0,2,93.17,1.8,3,8,7
23,1,1,1,1,6.69,3.6,1,13,14
24,0,1,1,1,363.26,1.18,18,7,7
27,1,0,1,2,100.14,2.38,6,8,7
29,1,0,0,1,342.51,1.44,19,10,10
31,1,0,1,2,246.9,1.67,10,16,23
32,1,0,2,4,44.07,2.88,4,6,8
