matchday,home_0_away_1,Poss,points_won,GF,GA,xG_diff,elo_diff,city_win_odds,opp_final_pos,days_since_last_game_city,days_since_last_opp_game
6,0,72,0,1,2,1.98,281.17,1.29,7,7,5
7,1,54,0,1,4,-0.73,185.33,1.91,3,7,6
10,1,41,1,0,0,-0.08,65.71,2.8,5,8,8
12,1,59,1,0,0,1.35,342.64,1.44,20,8,6
13,0,58,0,1,4,-1.53,158.3,1.7,8,13,13
15,1,54,0,0,2,-1.53,190.77,1.7,9,7,7
17,1,63,0,1,2,-0.73,10.07,3,2,9,6
19,1,61,1,0,0,0.86,146.6,1.85,1,3,6
21,0,55,1,0,0,1.08,148.87,1.53,11,11,14
23,1,53,1,2,2,0.72,173.44,1.73,7,7,7
25,0,66,0,1,3,-0.79,122.55,1.62,1,4,7
26,0,46,0,1,2,0.74,69.33,2.1,3,8,6
28,1,50,0,0,3,-0.99,114.96,2.88,8,17,7
30,1,66,1,0,0,0.42,272.83,1.6,19,7,7
31,0,55,0,0,1,0.96,61.44,1.83,5,8,7
27,1,57,1,1,1,0.06,289.53,1.57,18,3,7
36,1,60,0,2,4,-1.71,126.55,2.7,6,8,7
37,0,57,1,2,2,-0.33,36.84,2.5,2,7,6
38,1,50,1,1,1,1.92,166.95,1.53,12,7,7
