matchday,home_0_away_1,Poss,points_won,GF,GA,xG_diff,elo_diff,city_win_odds,opp_final_pos,days_since_last_game_city,days_since_last_opp_game
7,1,58,0,0,2,-0.79,67.01,2.5,2,8,8
8,0,73,1,1,1,2.55,158.93,1.5,7,13,15
9,0,65,1,1,1,0.59,98.78,1.5,8,8,7
11,0,71,1,1,1,2.29,265.99,1.22,19,7,7
14,0,61,0,1,3,0.96,31.99,2.15,1,7,7
15,1,78,0,2,4,-1.64,114.61,1.7,12,7,7
19,1,57,0,0,1,0.09,15.99,3.1,4,5,4
21,1,71,0,0,4,0,133.14,1.8,7,13,13
22,0,55,1,2,2,1.41,1.11,2.15,2,6,7
28,0,65,1,0,0,0.96,182.8,1.25,13,3,4
29,0,60,1,1,1,0.61,38.56,2,4,11,7
30,1,56,1,2,2,0.66,17.8,2.3,5,14,15
31,1,61,0,1,2,0.89,-56.65,3.1,1,3,4
26,0,69,1,0,0,1,-0.96,1.91,6,12,4
35,1,68,1,2,2,1.93,264.31,1.25,19,3,4
2,0,64,1,1,1,0.5,115.86,1.33,8,9,7
21,1,74,1,0,0,0,351.18,1.28,11,4,2
23,1,64,0,3,4,0,94.95,2.29,4,12,7
26,1,70,1,1,1,0.9,297.94,1.28,7,3,7
33,0,64,0,2,3,1.5,103.74,1.89,2,7,7
37,0,78,1,0,0,0.6,425.32,1.08,16,7,6
3,1,71,1,1,1,0.6,388.67,1.28,7,6,7
8,1,51,1,0,0,0.6,21.86,2.8,2,8,8
16,1,61,0,0,2,0.3,132.86,1.95,3,4,3
18,0,78,0,2,3,0.6,347.11,1.14,12,7,7
19,1,66,0,1,2,0.1,300.22,1.36,9,4,4
24,1,75,0,1,2,0.3,350.39,1.18,13,9,10
