matchday,home_0_away_1,Poss,points_won,GF,GA,xG_diff,elo_diff,city_win_odds,opp_final_pos,days_since_last_game_city,days_since_last_opp_game
6,0,72,0,1,2,1.98,281.17,1.29,7,7,5
7,1,54,0,1,4,-0.73,185.33,1.91,3,7,6
10,1,41,1,0,0,-0.08,65.71,2.8,5,8,8
12,1,59,1,0,0,1.35,342.64,1.44,20,8,6
13,0,58,0,1,4,-1.53,158.3,1.7,8,13,13
15,1,54,0,0,2,-1.53,190.77,1.7,9,7,7
17,1,63,0,1,2,-0.73,10.07,3,2,9,6
19,1,61,1,0,0,0.86,146.6,1.85,1,3,6
21,0,55,1,0,0,1.08,148.87,1.53,11,11,14
23,1,53,1,2,2,0.72,173.44,1.73,7,7,7
25,0,66,0,1,3,-0.79,122.55,1.62,1,4,7
26,0,46,0,1,2,0.74,69.33,2.1,3,8,6
28,1,50,0,0,3,-0.99,114.96,2.88,8,17,7
30,1,66,1,0,0,0.42,272.83,1.6,19,7,7
31,0,55,0,0,1,0.96,61.44,1.83,5,8,7
27,1,57,1,1,1,0.06,289.53,1.57,18,3,7
36,1,60,0,2,4,-1.71,126.55,2.7,6,8,7
37,0,57,1,2,2,-0.33,36.84,2.5,2,7,6
38,1,50,1,1,1,1.92,166.95,1.53,12,7,7
7,1,58,0,0,2,-0.79,67.01,2.5,2,8,8
8,0,73,1,1,1,2.55,158.93,1.5,7,13,15
9,0,65,1,1,1,0.59,98.78,1.5,8,8,7
11,0,71,1,1,1,2.29,265.99,1.22,19,7,7
14,0,61,0,1,3,0.96,31.99,2.15,1,7,7
15,1,78,0,2,4,-1.64,114.61,1.7,12,7,7
19,1,57,0,0,1,0.09,15.99,3.1,4,5,4
21,1,71,0,0,4,0,133.14,1.8,7,13,13
22,0,55,1,2,2,1.41,1.11,2.15,2,6,7
28,0,65,1,0,0,0.96,182.8,1.25,13,3,4
29,0,60,1,1,1,0.61,38.56,2,4,11,7
30,1,56,1,2,2,0.66,17.8,2.3,5,14,15
31,1,61,0,1,2,0.89,-56.65,3.1,1,3,4
26,0,69,1,0,0,1,-0.96,1.91,6,12,4
35,1,68,1,2,2,1.93,264.31,1.25,19,3,4
2,0,64,1,1,1,0.5,115.86,1.33,8,9,7
21,1,74,1,0,0,0,351.18,1.28,11,4,2
23,1,64,0,3,4,0,94.95,2.29,4,12,7
26,1,70,1,1,1,0.9,297.94,1.28,7,3,7
33,0,64,0,2,3,1.5,103.74,1.89,2,7,7
37,0,78,1,0,0,0.6,425.32,1.08,16,7,6
3,1,71,1,1,1,0.6,388.67,1.28,7,6,7
8,1,51,1,0,0,0.6,21.86,2.8,2,8,8
16,1,61,0,0,2,0.3,132.86,1.95,3,4,3
18,0,78,0,2,3,0.6,347.11,1.14,12,7,7
19,1,66,0,1,2,0.1,300.22,1.36,9,4,4
24,1,75,0,1,2,0.3,350.39,1.18,13,9,10
