matchday,home_0_away_1,points_won,GF,GA,elo_diff,united_win_odds,opp_final_pos,days_since_last_game_united,days_since_last_game_opp,,,,,,,,,,,
2,0,1,0,0,24.18,2.45,3,9,8,,,,,,,,,,,
3,1,0,0,1,120.32,2.88,2,6,8,,,,,,,,,,,
5,1,0,1,4,45.33,3.6,1,8,8,,,,,,,,,,,
6,0,0,1,2,257.1,1.3,17,6,7,,,,,,,,,,,
8,0,1,1,1,225.73,1.57,8,14,13,,,,,,,,,,,
12,1,1,2,2,311.12,1.65,20,14,15,,,,,,,,,,,
13,1,1,2,2,102.46,2.63,6,7,7,,,,,,,,,,,
14,0,0,0,1,108.3,1.73,5,3,4,,,,,,,,,,,
15,0,0,0,1,208.73,1.53,10,3,3,,,,,,,,,,,
20,0,0,1,2,97.73,1.8,6,4,3,,,,,,,,,,,
22,1,0,1,3,-6.93,5.5,3,8,8,,,,,,,,,,,
24,1,0,1,2,268.02,1.57,9,4,3,,,,,,,,,,,
25,0,1,2,2,300.85,1.2,19,8,8,,,,,,,,,,,
26,1,1,0,0,5.37,3.6,4,3,4,,,,,,,,,,,
30,0,0,0,3,5.37,2.5,2,8,15,,,,,,,,,,,
28,0,0,0,3,-54.91,3.5,1,3,3,,,,,,,,,,,
35,1,0,0,2,32.08,2.8,5,15,4,,,,,,,,,,,
37,0,0,0,1,236.87,1.36,14,7,6,,,,,,,,,,,
38,1,1,1,1,165.55,2.8,8,5,8,,,,,,,,,,,
1,0,0,1,2,185.68,1.36,8,0,0,,,,,,,,,,,
2,1,1,1,1,210.97,1.75,16,8,8,,,,,,,,,,,
3,1,1,0,0,245.12,1.62,19,6,7,,,,,,,,,,,
5,1,0,3,5,183.68,1.67,14,7,8,,,,,,,,,,,
8,1,1,2,2,189.26,1.75,13,15,16,,,,,,,,,,,
9,0,1,1,1,-115.91,2.88,1,6,8,,,,,,,,,,,
10,1,0,0,1,-101.77,4.33,2,7,8,,,,,,,,,,,
17,1,1,1,1,233.33,1.62,17,6,7,,,,,,,,,,,
19,1,1,0,0,95.11,2.3,5,2,2,,,,,,,,,,,
20,1,1,1,1,160.17,2,9,4,4,,,,,,,,,,,
21,0,0,0,1,98.65,1.83,7,10,10,,,,,,,,,,,
24,1,1,1,1,142.18,1.95,12,8,8,,,,,,,,,,,
26,1,0,1,2,176.54,2,8,10,10,,,,,,,,,,,
33,1,0,0,1,-58.24,4.33,1,6,6,,,,,,,,,,,
34,1,0,0,3,133.22,2.15,11,8,8,,,,,,,,,,,
35,0,0,0,1,225,1.36,13,6,7,,,,,,,,,,,
37,0,1,1,1,-37.34,2.45,3,8,6,,,,,,,,,,,
38,1,1,0,0,251.52,2.25,18,7,8,,,,,,,,,,,
3,0,1,0,0,229.2,1.36,18,8,8,,,,,,,,,,,
4,1,0,1,2,141.82,2.25,12,8,8,,,,,,,,,,,
8,1,0,0,3,10.97,3.8,2,8,8,,,,,,,,,,,
10,0,1,0,0,-65.71,2.6,4,8,8,,,,,,,,,,,
11,1,1,0,0,132.36,2.1,15,6,6,,,,,,,,,,,
14,1,1,1,1,153.74,2.4,1,7,7,,,,,,,,,,,
15,0,1,0,0,181.7,1.44,7,7,7,,,,,,,,,,,
16,1,0,1,2,263.39,2.3,16,7,7,,,,,,,,,,,
17,0,0,1,2,211.37,1.45,19,7,7,,,,,,,,,,,
18,1,0,0,2,106.62,2.3,9,7,7,,,,,,,,,,,
19,0,1,0,0,12.02,2.6,10,2,2,,,,,,,,,,,
21,1,1,3,3,195.64,1.8,18,10,10,,,,,,,,,,,
23,0,0,0,1,80.86,1.91,6,6,6,,,,,,,,,,,
25,1,1,1,1,-33.78,3.9,10,5,5,,,,,,,,,,,
26,1,0,1,2,188.07,1.75,17,6,6,,,,,,,,,,,
29,1,0,0,1,136.37,2,14,4,4,,,,,,,,,,,
33,1,0,0,3,-36.38,4,3,7,7,,,,,,,,,,,
36,0,1,1,1,-13.77,2.1,1,11,11,,,,,,,,,,,
35,1,0,2,3,46.34,2.45,7,3,3,,,,,,,,,,,
4,0,0,1,2,-58.88,2.38,3,14,13,,,,,,,,,,,
5,1,0,1,3,167.46,1.62,17,8,8,,,,,,,,,,,
7,0,1,1,1,149.75,1.33,13,8,8,,,,,,,,,,,
8,1,1,0,0,-43.49,3.5,4,15,16,,,,,,,,,,,
9,1,0,0,4,-11.14,3.8,1,6,8,,,,,,,,,,,
10,0,1,0,0,147.95,1.2,16,6,7,,,,,,,,,,,
12,0,1,1,1,-95.87,2.6,5,13,13,,,,,,,,,,,
13,0,1,1,1,114.58,1.45,11,8,8,,,,,,,,,,,
14,1,1,1,1,74.19,2.15,7,7,7,,,,,,,,,,,
21,0,1,1,1,-25.75,2.15,4,13,13,,,,,,,,,,,
22,1,1,1,1,133.61,1.6,13,6,7,,,,,,,,,,,
23,0,1,0,0,257.32,1.2,18,11,10,,,,,,,,,,,
27,0,1,1,1,236.47,1.25,9,21,7,,,,,,,,,,,
30,0,1,0,0,156.77,1.36,10,13,14,,,,,,,,,,,
31,0,1,1,1,76.88,1.57,7,3,3,,,,,,,,,,,
26,1,1,0,0,0.96,4.2,3,4,12,,,,,,,,,,,
35,0,1,1,1,233.87,1.36,15,3,8,,,,,,,,,,,
36,1,0,0,2,48.29,4.33,5,7,7,,,,,,,,,,,
37,1,0,1,2,-11.92,5.25,2,7,9,,,,,,,,,,,
28,1,1,0,0,146.29,2.8,8,3,4,,,,,,,,,,,
4,1,1,2,2,205.74,1.5,19,14,13,,,,,,,,,,,
8,1,1,0,0,62.34,2.8,4,14,13,,,,,,,,,,,
9,1,0,1,2,395.1,1.36,16,7,7,,,,,,,,,,,
11,1,0,0,1,7.46,3.2,5,8,8,,,,,,,,,,,
16,0,0,1,2,-65.87,3.39,1,8,7,,,,,,,,,,,
