matchday,home_0_away_1,points_won,GF,GA,elo_diff,united_win_odds,opp_final_pos,days_since_last_game_united,days_since_last_game_opp
1,0,0,1,2,185.68,1.36,8,0,0
2,1,1,1,1,210.97,1.75,16,8,8
3,1,1,0,0,245.12,1.62,19,6,7
5,1,0,3,5,183.68,1.67,14,7,8
8,1,1,2,2,189.26,1.75,13,15,16
9,0,1,1,1,-115.91,2.88,1,6,8
10,1,0,0,1,-101.77,4.33,2,7,8
17,1,1,1,1,233.33,1.62,17,6,7
19,1,1,0,0,95.11,2.3,5,2,2
20,1,1,1,1,160.17,2,9,4,4
21,0,0,0,1,98.65,1.83,7,10,10
24,1,1,1,1,142.18,1.95,12,8,8
26,1,0,1,2,176.54,2,8,10,10
33,1,0,0,1,-58.24,4.33,1,6,6
34,1,0,0,3,133.22,2.15,11,8,8
35,0,0,0,1,225,1.36,13,6,7
37,0,1,1,1,-37.34,2.45,3,8,6
38,1,1,0,0,251.52,2.25,18,7,8
