matchday,home_0_away_1,Poss,points_won,GF,GA,xG_diff,elo_diff,united_win_odds,opp_final_pos,days_since_last_game_united,days_since_last_opp_game
3,0,69,1,0,0,0.81,229.2,1.36,18,8,8
4,1,65,0,1,2,0.31,141.82,2.25,12,8,8
8,1,62,0,0,3,-1.13,10.97,3.8,2,8,8
10,0,59,1,0,0,0.08,-65.71,2.6,4,8,8
11,1,55,1,0,0,0.55,132.36,2.1,15,6,6
14,1,69,1,1,1,-0.18,153.74,2.4,1,7,7
15,0,63,1,0,0,0.66,181.7,1.44,7,7,7
16,1,57,0,1,2,0.92,263.39,2.3,16,7,7
17,0,69,0,1,2,-0.45,211.37,1.45,19,7,7
18,1,59,0,0,2,0.11,106.62,2.3,9,7,7
19,0,67,1,0,0,0.45,12.02,2.6,10,2,2
21,1,46,1,3,3,0.55,195.64,1.8,18,10,10
23,0,55,0,0,1,0.65,80.86,1.91,6,6,6
25,1,51,1,1,1,-0.84,-33.78,3.9,10,5,5
26,1,66,0,1,2,-0.57,188.07,1.75,17,6,6
29,1,53,0,0,1,-0.15,136.37,2,14,4,4
33,1,53,0,0,3,-1.46,-36.38,4,3,7,7
36,0,71,1,1,1,0,-13.77,2.1,1,11,11
35,1,59,0,2,3,-1.49,46.34,2.45,7,3,3
