matchday,home_0_away_1,Poss,points_won,GF,GA,xG_diff,elo_diff,united_win_odds,opp_final_pos,days_since_last_game_united,days_since_last_opp_game
3,0,69,1,0,0,0.81,229.2,1.36,18,8,8
4,1,65,0,1,2,0.31,141.82,2.25,12,8,8
8,1,62,0,0,3,-1.13,10.97,3.8,2,8,8
10,0,59,1,0,0,0.08,-65.71,2.6,4,8,8
11,1,55,1,0,0,0.55,132.36,2.1,15,6,6
14,1,69,1,1,1,-0.18,153.74,2.4,1,7,7
15,0,63,1,0,0,0.66,181.7,1.44,7,7,7
16,1,57,0,1,2,0.92,263.39,2.3,16,7,7
17,0,69,0,1,2,-0.45,211.37,1.45,19,7,7
18,1,59,0,0,2,0.11,106.62,2.3,9,7,7
19,0,67,1,0,0,0.45,12.02,2.6,10,2,2
21,1,46,1,3,3,0.55,195.64,1.8,18,10,10
23,0,55,0,0,1,0.65,80.86,1.91,6,6,6
25,1,51,1,1,1,-0.84,-33.78,3.9,10,5,5
26,1,66,0,1,2,-0.57,188.07,1.75,17,6,6
29,1,53,0,0,1,-0.15,136.37,2,14,4,4
33,1,53,0,0,3,-1.46,-36.38,4,3,7,7
36,0,71,1,1,1,0,-13.77,2.1,1,11,11
35,1,59,0,2,3,-1.49,46.34,2.45,7,3,3
4,0,40,0,1,2,-0.88,-58.88,2.38,3,14,13
5,1,60,0,1,3,0.34,167.46,1.62,17,8,8
7,0,67,1,1,1,1.61,149.75,1.33,13,8,8
8,1,35,1,0,0,0.27,-43.49,3.5,4,15,16
9,1,56,0,0,4,-1.51,-11.14,3.8,1,6,8
10,0,72,1,0,0,2.39,147.95,1.2,16,6,7
12,0,46,1,1,1,-0.07,-95.87,2.6,5,13,13
13,0,68,1,1,1,0.69,114.58,1.45,11,8,8
14,1,55,1,1,1,-1.11,74.19,2.15,7,7,7
21,0,56,1,1,1,-0.43,-25.75,2.15,4,13,13
22,1,65,1,1,1,1.39,133.61,1.6,13,6,7
23,0,67,1,0,0,1.08,257.32,1.2,18,11,10
27,0,68,1,1,1,1.72,236.47,1.25,9,21,7
30,0,75,1,0,0,0.79,156.77,1.36,10,13,14
31,0,62,1,1,1,1.08,76.88,1.57,7,3,3
26,1,31,1,0,0,-1,0.96,4.2,3,4,12
35,0,56,1,1,1,1.21,233.87,1.36,15,3,8
36,1,50,0,0,2,-0.46,48.29,4.33,5,7,7
37,1,40,0,1,2,-1.07,-11.92,5.25,2,7,9
28,1,47,1,0,0,-0.21,146.29,2.8,8,3,4
4,1,63,1,2,2,0.9,205.74,1.5,19,14,13
8,1,38,1,0,0,-1.3,62.34,2.8,4,14,13
9,1,77,0,1,2,-0.4,395.1,1.36,16,7,7
11,1,46,0,0,1,-0.9,7.46,3.2,5,8,8
16,0,36,0,1,2,-0.3,-65.87,3.39,1,8,7
19,1,51,1,2,2,0.5,156.55,1.9,9,6,7
20,0,71,1,2,2,1.5,213.08,1.25,7,3,3
21,0,54,1,0,0,1.1,243.62,1.36,17,4,4
25,1,48,0,0,2,-0.5,-10.85,3.39,3,11,10
27,1,64,0,0,1,1.4,284.36,1.61,10,8,7
34,0,70,0,0,1,0,326.07,1.18,20,8,8
37,1,68,0,0,1,-0.2,277,1.85,15,5,6
31,1,56,1,0,0,0.2,258.05,1.8,13,6,5
2,1,66,0,2,3,-0.3,264.04,1.75,17,9,9
3,0,57,0,0,3,0.3,-31.12,2.62,4,8,8
6,0,64,1,1,1,-0.4,259.25,1.57,7,7,7
7,1,52,0,1,3,-0.7,221.21,1.85,10,7,7
9,1,38,1,2,2,-1,-16.38,5.25,3,14,14
12,1,35,0,1,3,-0.8,-141.8,8.5,1,8,8
13,0,59,1,0,0,-0.3,216.99,1.4,12,13,13
14,1,60,1,2,2,0.4,240.1,1.95,16,7,7
15,0,45,1,2,2,0,10.44,2.45,5,4,4
17,1,36,0,1,3,-1.8,-94.71,6,2,8,11
24,0,73,1,2,2,2.3,242.5,1.28,15,10,6
27,0,36,1,0,0,-0.2,-85.55,3.1,2,15,3
30,1,54,0,0,2,0.6,19.81,3,5,8,3
33,1,51,0,1,2,0,225.92,2,7,3,8
35,1,52,0,0,4,-1.3,169.31,2.3,8,8,4
31,0,37,0,0,2,0,-118.89,7.5,1,3,7
36,0,52,1,1,1,-0.6,31.58,2.7,3,4,7
37,1,64,1,1,1,0.8,357.53,1.3,20,7,7
38,0,73,0,0,2,-0.1,275.11,1.28,18,7,7
